   i   x noeuds       y noeuds       x centre Vol       y centre Vol    Vitesse x       Vitesse y    x ctr faces horiz    y ctr faces horiz
  83   0.164141E-02    0.164141E-02    0.166667E-02    0.166667E-02   -0.220363E-01    0.220363E-01    0.166667E-02    0.164141E-02
  84   0.169192E-02    0.169192E-02    0.171717E-02    0.171717E-02   -0.212431E-01    0.212431E-01    0.171717E-02    0.169192E-02
  85   0.174242E-02    0.174242E-02    0.176768E-02    0.176768E-02   -0.203644E-01    0.203644E-01    0.176768E-02    0.174242E-02
  86   0.179293E-02    0.179293E-02    0.181818E-02    0.181818E-02   -0.194037E-01    0.194037E-01    0.181818E-02    0.179293E-02
  87   0.184343E-02    0.184343E-02    0.186869E-02    0.186869E-02   -0.183648E-01    0.183648E-01    0.186869E-02    0.184343E-02
  88   0.189394E-02    0.189394E-02    0.191919E-02    0.191919E-02   -0.172520E-01    0.172520E-01    0.191919E-02    0.189394E-02
  89   0.194444E-02    0.194444E-02    0.196970E-02    0.196970E-02   -0.160697E-01    0.160697E-01    0.196970E-02    0.194444E-02
  90   0.199495E-02    0.199495E-02    0.202020E-02    0.202020E-02   -0.148227E-01    0.148227E-01    0.202020E-02    0.199495E-02
  91   0.204545E-02    0.204545E-02    0.207071E-02    0.207071E-02   -0.135160E-01    0.135160E-01    0.207071E-02    0.204545E-02
  92   0.209596E-02    0.209596E-02    0.212121E-02    0.212121E-02   -0.121549E-01    0.121549E-01    0.212121E-02    0.209596E-02
  93   0.214646E-02    0.214646E-02    0.217172E-02    0.217172E-02   -0.107449E-01    0.107449E-01    0.217172E-02    0.214646E-02
  94   0.219697E-02    0.219697E-02    0.222222E-02    0.222222E-02   -0.929156E-02    0.929156E-02    0.222222E-02    0.219697E-02
  95   0.224747E-02    0.224747E-02    0.227273E-02    0.227273E-02   -0.780084E-02    0.780084E-02    0.227273E-02    0.224747E-02
  96   0.229798E-02    0.229798E-02    0.232323E-02    0.232323E-02   -0.627870E-02    0.627870E-02    0.232323E-02    0.229798E-02
  97   0.234848E-02    0.234848E-02    0.237374E-02    0.237374E-02   -0.473128E-02    0.473128E-02    0.237374E-02    0.234848E-02
  98   0.239899E-02    0.239899E-02    0.242424E-02    0.242424E-02   -0.316481E-02    0.316481E-02    0.242424E-02    0.239899E-02
  99   0.244949E-02    0.244949E-02    0.247475E-02    0.247475E-02   -0.158560E-02    0.158560E-02    0.247475E-02    0.244949E-02
 100   0.250000E-02    0.250000E-02    0.000000E+00    0.000000E+00   -0.200552E-15    0.200552E-15    0.000000E+00    0.250000E-02
