#  i        x        y        dy_analy      dy_num      erreur        log10(erreur)
  87   0.344000E+01   -0.826151E-01   -0.511761E+00   -0.510377E+00    0.270442E-02   -0.256793E+01
  88   0.348000E+01   -0.103963E+00   -0.554202E+00   -0.552696E+00    0.271750E-02   -0.256583E+01
  89   0.352000E+01   -0.126831E+00   -0.587611E+00   -0.586005E+00    0.273332E-02   -0.256331E+01
  90   0.356000E+01   -0.150844E+00   -0.611387E+00   -0.609705E+00    0.275242E-02   -0.256028E+01
  91   0.360000E+01   -0.175607E+00   -0.625072E+00   -0.623337E+00    0.277554E-02   -0.255665E+01
  92   0.364000E+01   -0.200711E+00   -0.628352E+00   -0.626591E+00    0.280369E-02   -0.255227E+01
  93   0.368000E+01   -0.225734E+00   -0.621068E+00   -0.619305E+00    0.283825E-02   -0.254695E+01
  94   0.372000E+01   -0.250255E+00   -0.603212E+00   -0.601474E+00    0.288125E-02   -0.254042E+01
  95   0.376000E+01   -0.273852E+00   -0.574933E+00   -0.573245E+00    0.293563E-02   -0.253230E+01
  96   0.380000E+01   -0.296115E+00   -0.536532E+00   -0.534919E+00    0.300600E-02   -0.252201E+01
  97   0.384000E+01   -0.316646E+00   -0.488459E+00   -0.486945E+00    0.309978E-02   -0.250867E+01
  98   0.388000E+01   -0.335070E+00   -0.431306E+00   -0.429913E+00    0.322995E-02   -0.249080E+01
  99   0.392000E+01   -0.351039E+00   -0.365798E+00   -0.364547E+00    0.342118E-02   -0.246582E+01
 100   0.396000E+01   -0.364234E+00   -0.292786E+00   -0.291695E+00    0.372707E-02   -0.242863E+01
 101   0.400000E+01   -0.374374E+00   -0.213229E+00   -0.215326E+00    0.983195E-02   -0.200736E+01
